0	it is dark , brooding and slow , and takes its central idea way too seriously .	It is dark, incubating and slow, and takes its central idea far too seriously.
1	a dazzling dream of a documentary .	A dazzling dream of a documentary.
1	an affectionately goofy satire that ' s unafraid to throw elbows when necessary ...	a affectionately odious satire that is not afraid to throw elbows if necessary...
1	a mature , deeply felt fantasy of a director ' s travel through 300 years of russian history .	a mature, deeply felt fantasy of a director's trip through 300 years of Russian history.
1	a deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .	a deft, delicious mix of muddy teen drama and triumphant sports-movy obstacles.
1	sitting in the third row of the imax cinema at sydney ' s darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking and hovering over some of the most not	sitting in the third row of the imax cinema at Sydney's darling port, but I sometimes felt that I was in the small two-seater plane that was carrying the giant camera around Australia, sweeping and hovering, lowering and hovering on some of the furthest steps
1	more good than great but freeman and judd make it work .	good than big, but freeman and judd make it work.
1	a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .	a simple tale of an improbable friendship, but thanks to the superb places and exceptional performances in mind, it has a considerable charm.
1	the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .	The film itself is far from disappointing, offering an original shot on the audience movies, some twists nifty that are so crucial for the genre and another first-level performance by the high-end star bruce willis.
0	( sam ' s ) self-flagellation is more depressing than entertaining .	Self-flagellation is more depressing than entertaining.
1	the slam-bang superheroics are kinetic enough to engross even the most antsy youngsters .	The superheroeic slam-bangs are kinetic enough to bewitch even the most anesthetic young.
0	for most movies , 84 minutes is short , but this one feels like a life sentence .	For most films, 84 minutes is short, but this one feels like a sentence for life.
1	dense , exhilarating documentary .	dense, exhilarating documentary.
0	but windtalkers does n't beat that one , either .	But windbreakers don't beat that one either.
1	the movie is well crafted , and well executed .	the film is well designed, and well executed.
1	the actors are simply too good , and the story too intriguing , for technical flaws to get in the way .	the actors are simply too good, and the story too intriguing, for the technical flaws to get in the way.
0	it ' s petty thievery like this that puts flimsy flicks like this behind bars	It's a shitty game like this that puts cops like that behind bars.
0	interminably bleak , to say nothing of boring .	Incessantly dark, to say nothing boring.
0	it may as well be called ` ` jar-jar binks : the movie . ' '	it can also be called `` binks jar-jar: the movie.''
0	what madonna does here ca n't properly be called acting - - more accurately , it ' s moving and it ' s talking and it ' s occasionally gesturing , sometimes all at once .	What Madonna is doing here must not be properly called acting - - more precisely, it is in motion and it speaks and it is sometimes gesturing, sometimes all at once.
0	you ' ll feel like you ate a reeses without the peanut butter ... '	You'll feel like you're eating a reed without peanut butter...
0	every conceivable mistake a director could make in filming opera has been perpetrated here .	every imaginable mistake that a director could make in the shooting of the opera was perpetrated here.
0	it ' s a road-trip drama with too many wrong turns .	It's a travel drama with too many wrong turns.
1	the one-liners are snappy , the situations volatile and the comic opportunities richly rewarded .	Un-liners are snappy, volatile situations and richly rewarded comic opportunities.
0	puportedly ` ` based on true events , ' ' a convolution of language that suggests it ' s impossible to claim that it is ` ` based on a true story ' ' with a straight face .	"puportedly ""based on true events"", ""a convolution of language that suggests that it is impossible to pretend that it is ""based on a true story"" with a straight face."
0	a series of immaculately composed shots of patch adams quietly freaking out does not make for much of a movie .	a series of photos immaculately composed of Adams patch quietly creepy doesn't make for many of a movie.
0	this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .	It is a film so unsure of its ability to excite that it does not trigger one but two glaring thunderstorms to highlight the action.
0	boy , has this franchise ever run out of gas .	Boy, this candidness never runs out of gas.
0	but it ' s hardly a necessary enterprise .	But it's not a necessary business.
1	has the rare capability to soothe and break your heart with a single stroke .	has the rare ability to calm and break your heart with one blow.
1	short-story quaint , touchingly mending a child ' s pain for his dead mother via communication with an old woman straight out of eudora welty .	Short quaint, touchingly repairing a child's pain for his dead mother by communicating with an old woman straight out of eudora welty.
1	a confident , richly acted , emotionally devastating piece of work and 2002 ' s first great film	a confident, richly played, emotionally devastating work and the first great film of 2002
0	but it was n't .	But that wasn't the case.
0	enigma lacks it .	Enigma misses him.
1	evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .	evokes a palpable sense of disconnection, made all the more poignant by the incessant use of cellular phones.
1	changing lanes is an anomaly for a hollywood movie ; it ' s a well-written and occasionally challenging social drama that actually has something interesting to say .	Changing the way is an anomaly for a Hollywood film; it is a well-written and sometimes difficult social drama that has something interesting to say.
0	halfway through , however , having sucked dry the undead action flick formula , blade ii mutates into a gross-out monster movie with effects that are more silly than scary .	Half way, however, after sucking dry the formula of undead action cop, the blade ii mutes into a monster movie grossing with effects that are more stupid than scary.
0	a movie that ' s held captive by mediocrity .	a film that is held captive by the mediocrity.
0	my only wish is that celebi could take me back to a time before i saw this movie and i could just skip it .	My only wish is for celebi to bring me back to a moment before I see this film and I can just jump it.
1	both heartbreaking and heartwarming ... just a simple fable done in an artless sytle , but it ' s tremendously moving .	At the same time tearing and comforting... just a simple fable made in a sytle artless, but it is extremely moving.
1	a beautifully observed character piece .	a beautifully observed piece of character.
1	the movie is amateurish , but it ' s a minor treat .	The film is amateur, but it's a little pleasure.
0	and if you appreciate the one-sided theme to lawrence ' s over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified martin lawrence lovefest .	and if you enjoy the unilateral theme of Lawrence's superindulgent tyranny, then you knock yourself out and enjoy the large screen postcard that is a martin lovefest self-glorious.
1	the lightest , most breezy movie steven spielberg has made in more than a decade .	the lightest film, most of the movie brewy steven spielberg has made in more than a decade.
1	a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .	A journey that spans almost three decades of bitter camaraderie and history, in which we feel that we really know what makes Holly and Marina tick, and our hearts go to them as the two continue to negotiate their imperfection, a relationship love-hate.
1	foster breathes life into a roll that could have otherwise been bland and run of the mill .	to promote life in a roll that could otherwise have been tedious and the operation of the mill.
0	may cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .	can make you bite your tongue to avoid laughing at the ridiculous dialogue or intrigue so practical.
1	a backstage must-see for true fans of comedy .	A must-see behind the scenes for real comedy fans.
0	low rent from frame one .	low rent from frame one.
0	unfortunately , it ' s also not very good .	Unfortunately, it's not very good either.
0	it ' s so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison .	He is so devoid of joy and energy that he even makes the jason x... look positively trembling by comparison.
0	downright transparent is the script ' s endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a ` ` cooler ' ' pg - 13 rating .	"Absolute transparency is the endless assault of the scenario of embarrassing ham sex jokes that rewrite a script designed to get the film a "" cooler "" note pg - 13."
0	they threw loads of money at an idea that should ' ve been so much more even if it was only made for teenage boys and wrestling fans .	They threw a lot of money into an idea that should have been so much more even if it was made only for teenagers and wrestling fans.
0	cacoyannis ' vision is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .	Cacoyannis'vision is much less mature, interpreting the play as a call to pity and sympathy for anachronistic fantasies haunting the imagined glory of their own past.
1	for the most part , the film does hold up pretty well .	For the most part, the film holds pretty well.
0	most of the problems with the film do n't derive from the screenplay , but rather the mediocre performances by most of the actors involved	most of the problems with the film do not stem from the scenario, but rather from the poor performances of most of the actors involved
1	could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?	Could I have been more geek when I heard that Apollo 13 was going to be released in imax format?
0	one can only assume that the jury who bestowed star hoffman ' s brother gordy with the waldo salt screenwriting award at 2002 ' s sundance festival were honoring an attempt to do something different over actually pulling it off	It can only be assumed that the jury that awarded Hoffman's brother the Waldo Salin Writing Prize at the 2002 Sundance Festival honored an attempt to do something different to stop him.
0	plotless collection of moronic stunts is by far the worst movie of the year .	collection without conspiracy of monical cascades is by far the worst film of the year.
0	a bland animated sequel that hardly seems worth the effort .	a clumsy animated suite that does not seem worth the effort.
1	a different and emotionally reserved type of survival story - - a film less about refracting all of world war ii through the specific conditions of one man , and more about that man lost in its midst .	a different and emotionally reserved type of survival story - - a film less on refractory all the world war ii through the specific conditions of a man, and more about this man lost in his midst.
1	a chronicle not only of one man ' s quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign ' s end , an extended publicity department .	a chronicle not only of the quest for one man to be president, but of the way in which this man alone transformed a plane full of cynical and hard journalists into what was essentially, by the end of the campaign, an extended advertising department.
0	a mess .	It's a mess.
1	harmless fun .	fun harmless.
0	abandon spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed .	abandoning spends 90 minutes trying to figure out if a naughty pseudo-intellectual child has intentionally left university or been killed.
1	despite its faults , gangs excels in spectacle and pacing .	Despite his flaws, the gangs are excellent in the show and the rhythm.
1	though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .	Although the Aboriginal aspect lends an extraordinary grip to the end, and the history itself could be played in any working class community in the nation.
0	even if you ' re an elvis person , you wo n't find anything to get excited about on this dvd .	Even if you're an elvis person, you don't find anything to get mad at this dvd.
1	but once the falcon arrives in the skies above manhattan , the adventure is on red alert .	But once the falcon arrives in the sky above the manhattan, the adventure is on red alert.
1	if the material is slight and admittedly manipulative , jacquot preserves tosca ' s intoxicating ardor through his use of the camera .	if the material is light and obviously manipulatory, jacquot preserves the intoxicating tosca ardour by using the camera.
1	a uniquely sensual metaphorical dramatization of sexual obsession that spends a bit too much time on its fairly ludicrous plot .	An unusually sensual metaphorical dramaturgy of sexual obsession that spends a little too much time on his rather ridiculous plot.
1	using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .	Using a plot of stock, about a boy injects just enough freshness into the procedure to provide a pleasant 100 minutes in a cinema.
1	the word that comes to mind , while watching eric rohmer ' s tribute to a courageous scottish lady , is painterly .	The word that comes to mind, while looking at Eric Rohmer's tribute to a brave Scottish lady, is a painter.
1	standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .	To stand in the shadow of a motown is the best kind of documentary, which burns yesterday feel a lot like a whole new tomorrow.
1	at least it ' s a fairly impressive debut from the director , charles stone iii .	at least it's a pretty impressive start of the director, charles pierre iii.
0	there ' s something unintentionally comic in the film ' s drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties .	There is something funny unintentionally in the beat of the film about authenticity, given the plot and pornographic way the film takes place in welded apartments, clothes and parties.
0	if you enjoy being rewarded by a script that assumes you are n't very bright , then blood work is for you .	If you like to be rewarded with a script that assumes you're not very bright, then the blood work is for you.
0	the piano teacher is not an easy film .	The piano teacher is not an easy movie.
0	the film is way too full of itself ; it ' s stuffy and pretentious in a give-me-an-oscar kind of way .	the film is far too full of itself; it is suffocating and pretentious in a kind of gift-me-a-oscar in a way.
1	warm and exotic .	hot and exotic.
1	you have to see it .	You need to see him.
1	works , it ' s thanks to huston ' s revelatory performance .	Works, thanks to Huston's revelatory performance.
1	` ` the dangerous lives of altar boys ' ' has flaws , but it also has humor and heart and very talented young actors	""" The dangerous life of the altar boys "" has flaws, but it also has humor and heart and very talented young actors."
0	the audacity to view one of shakespeare ' s better known tragedies as a dark comedy is , by itself , deserving of discussion .	the audacity to consider one of Shakespeare's best-known tragedies as a dark comedy deserves, in itself, to be discussed.
1	one of those unassuming films that sneaks up on you and stays with you long after you have left the theatre .	One of those unpretentious films that sneaks into you and stays with you long after leaving the theater.
0	this franchise has not spawned a single good film .	This frankness has not produced a single good film.
0	( carvey ' s ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .	The characters (carvey's) are both overjoyed and exaggerated, but again, subtlety has never been his trademark.
0	by-the-numbers yarn .	sub-numbered wires.
1	adolescents will be adequately served by the movie ' s sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` topless tutorial service . '	"Teenagers will be well served by the sophomorous mix of shenanigans and slaps of the film, although the most lascivious may be disappointed by the relative modesty of a film that offers a "" topless tutoring service ""."
1	monte cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .	mount cristo intelligently puts the emphasis on well-worked history and omits unnecessary hunting scenes and sword fights as revenge unfolds.
1	this seductive tease of a thriller gets the job done .	this seductive tea of a thriller gets the work done.
0	the movie ' s major and most devastating flaw is its reliance on formula , though , and it ' s quite enough to lessen the overall impact the movie could have had .	The major and most devastating flaw of the film is its dependence on the formula, however, and it is enough to diminish the overall impact that the film could have had.
0	in addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .	in addition to the surcuite, cracked direction of ham, which has all the actors reaching for the rear row, the dialogue sounds like a horrible poetry.
1	moonlight mile gives itself the freedom to feel contradictory things .	moon mile gives itself the freedom to feel contradictory things.
0	too bad maggio could n't come up with a better script .	Too bad the maggio couldn't find a better script.
0	a disappointment for a movie that should have been the ultimate imax trip .	a disappointment for a movie that should have been the ultimate imax journey.
1	... strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .	... tape the bible stores of sanctification potential, making them meaningful for the cautious children and adults of the church.
1	heartwarming and gently comic even as the film breaks your heart .	warm heart and softly comic, even as the movie breaks your heart.
1	as improbable as this premise may seem , abbass ' s understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life .	as unlikely as this premise may seem, abbass's underestimated, brilliant performance offers us the feeling that on a certain elementary level, lilia wants to deeply break free from her old life.
0	the laughs are as rare as snake foo yung .	laughs are as rare as snake foo yung.
0	ozpetek offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves .	ozpetek offers a subtext of help, foaming about the realities of gay sex, and presents yet another tired old vision of the gay community as an all-inclusive world where tight, boring middle class as antony can feel good about themselves.
0	maybe leblanc thought , ` ` hey , the movie about the baseball-playing monkey was worse . ' '	Maybe Leblanc thought, ``Hi, the monkey movie playing baseball was worse.''
0	gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing .	gaghan captures the half bed, sometimes the frightening privacy of university dormitories, a subtlety that makes the coda stupid, on the top particularly disappointing.
0	the sweetest thing leaves a bitter taste .	the sweetest thing leaves a bitter taste.
0	we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine .	"We began to wonder if... some unpaid interns had just typed ""chris rock"", ""anthony hopkins"" and ""terrorists"" in a univac typewriter."
1	hashiguchi vividly captures the way young japanese live now , chafing against their culture ' s manic mix of millennial brusqueness and undying , traditional politesse .	hashiguchi is strikingly capturing the way young Japanese people now live, opposing the manic mix of their millennial rustling culture and traditional politeness.
1	the most compelling performance of the year adds substantial depth to this shocking testament to anti-semitism and neo-fascism .	The most convincing performance of the year adds substantial depth to this shocking testimony to anti-Semitism and neo-fascism.
1	ryan gosling is , in a word , brilliant as the conflicted daniel .	ryan gosling is, in a word, brilliant as the confrontational daniel.
1	the obnoxious title character provides the drama that gives added clout to this doc .	the character of a heinous title provides the drama that gives this doc more strength.
1	it ' ll keep you wide awake and ... very tense .	He'll keep you awake and... very tense.
0	claims to sort the bad guys from the good , which is its essential problem .	claims to sort bad guys out of good, which is his main problem.
0	an appalling ` ace ventura ' rip-off that somehow manages to bring together kevin pollak , former wrestler chyna and dolly parton .	"a dreadful ""ace ventura"" that somehow manages to gather kevin pollak, former wrestling chyna and dolly party."
1	because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we ' ve somehow never seen before .	Because the film deliberately lacks irony, it has a real dramatic impact; it plays like a powerful 1957 drama that we've kind of never seen before.
1	the ending feels at odds with the rest of the film .	the end feels in contradiction with the rest of the film.
1	in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song .	in the painting of a romantic unabashedly image of a nation whose songs flow directly from people's lives, the film exalts the Marxian dream of honest folk work, with little to show for their work, live harmoniously, joined in the song.
0	for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .	for all its brilliant touches, dragon loses its fire halfway, almost freaking out by its perfunctory conclusion.
1	the production has been made with an enormous amount of affection , so we believe these characters love each other .	the production was made with a huge amount of affection, so we believe that these characters love each other.
0	without shakespeare ' s eloquent language , the update is dreary and sluggish .	Without Shakespeare's eloquent language, the update is lamentable and slow.
1	stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .	Stevens' vibrant creative instincts are the difference between this and countless other movies about guys and dolls.
1	melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .	melds derived elements in something that is often quite rich and exciting, and always a beauty to see.
0	coupling disgracefully written dialogue with flailing bodily movements that substitute for acting , circuit is the awkwardly paced soap opera-ish story .	Combining shamefully written dialogue with body movements that substitute for action, the circuit is the history soap opera-ish clumsy.
1	the observations of this social / economic / urban environment are canny and spiced with irony .	the observations of this social / economic / urban environment are canny and spicy with irony.
0	kapur fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) .	kapur does not give its audience a single character who deserves to be rooted (or who deserves to be rooted against, by the way).
0	instead of letting the laughs come as they may , lawrence unleashes his trademark misogyny - - er , comedy - - like a human volcano or an overflowing septic tank , take your pick .	Instead of letting laughter come as they can, the law releases its brand misogyny - er, comedy - like a human volcano or an overflowing septic tank, take your choice.
0	these self-styled athletes have banged their brains into the ground so frequently and furiously , their capacity to explain themselves has gone the same way as their natural instinct for self-preservation .	These self-styled athletes have struck their brains in the ground so frequently and furiously, their ability to explain itself has gone the same way as their natural instinct for self-preservation.
0	` ` analyze that ' ' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .	``analyse'' is one of those cracks, invented sequels that not only fail on its own, but make you support your affection for the original.
0	everyone ' s to blame here .	Everyone is to blame here.
0	much like its easily dismissive take on the upscale lifestyle , there is n't much there here .	A little like his easily disdainful grip on the high-end lifestyle, there is not much here.
0	it does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject .	It does not offer the public any way to grasp what its point is, or even its attitude to its subject matter.
1	the unexplored story opportunities of ` ` punch-drunk love ' ' may have worked against the maker ' s minimalist intent but it is an interesting exercise by talented writer / director anderson .	"Unexplored opportunities in the history of ""punch-drunk love "" may have been contrary to the minimalist intent of the manufacturer, but this is an interesting exercise on the part of a writer/director and a talented person."
1	a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact .	a film that will be better appreciated by those who want to endure its extremely languishing rhythms, waiting for happiness is finally reflected without having much dramatic impact.
0	julie davis is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .	julie davis is the kathie lee gifford of the directors, unfortunately proving once again the ego does not always go hand in hand with the talent.
1	it ' s a rare window on an artistic collaboration .	It's a rare window on artistic collaboration.
1	even before it builds up to its insanely staged ballroom scene , in which 3000 actors appear in full regalia , it ' s waltzed itself into the art film pantheon .	before he even piled up to his crazyly staged ballroom scene, in which 3,000 actors appeared in full regal, he threw himself into the pantheon of the art film.
0	... an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you ' ll wonder if lopez ' s publicist should share screenwriting credit .	... an airless julia roberts, prepackaged, that stinks so much of selling images that you wonder if the author's publicist should share the writing credit.
1	a hallmark film in an increasingly important film industry and worth the look .	a characteristic film in an increasingly important and worthwhile film industry.
0	a bad movie that happened to good actors .	A bad movie that got to the right actors.
1	once folks started hanging out at the barbershop , they never wanted to leave .	Once people started hanging out at the hair salon, they never wanted to leave.
0	even as i valiantly struggled to remain interested , or at least conscious , i could feel my eyelids ... getting ... very ... heavy ...	Even though I bravely struggled to remain interested, or at least conscious, I could feel my eyelids... get... very... heavy...
0	poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .	Poor ben batt could not find stardom if mapquest sent him an email point-to-point driving directions.
0	looks and feels like a low-budget hybrid of scarface or carlito ' s way .	looks and feels like a low-budgeted hybrid of the scar or the way of Carlito.
0	sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit , yet it ' s geared toward an audience full of masters of both .	sc2 is a Hollywood autopilot concoction lacks imagination and authentic Christmas spirit, but it is oriented towards an audience full of masters of both.
0	the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .	actors improvise and shout their way around this film without direction, without any of the dark rolling humor if necessary to make this kind of idea work on the screen.
0	a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document - - its makers are n't removed and inquisitive enough for that .	a video of girls gone crazy for the crowd of boho art-house, the burning sensation is not a definitive counter-cultural document - - its manufacturers are not removed and curious enough for that.
0	plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .	plodding, badly written, cloudy and weakly played, the image feels like everyone makes it lose their movie mojo.
1	your children will be occupied for 72 minutes .	Your children will be busy for 72 minutes.
0	cox offers plenty of glimpses at existing photos , but there are no movies of nijinsky , so instead the director treats us to an aimless hodgepodge .	Cox offers a lot of previews on the existing photos, but there are no Nijinsky movies, so instead the director treats us to a goalless hodgepodge.
0	while the production details are lavish , film has little insight into the historical period and its artists , particularly in how sand developed a notorious reputation .	While the details of the production are sumptuous, the film has little vision of the historical period and its artists, especially in the way the sand has developed a well-known reputation.
0	while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .	While the end of Hollywood has its share of belly laughter (including a knockout of a closing line), the film feels like a great missed opportunity.
0	what soured me on the santa clause 2 was that santa bumps up against 21st century reality so hard , it ' s icky .	What struck me on clause 2 of the santa was that the santa came up against the reality of the 21st century so hard, it's clumsy.
0	suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 .	The British filmmakers hit-hungry have been stripping the merciless monty formula since 1997.
1	the sentimental script has problems , but the actors pick up the slack .	The sentimental script has problems, but the actors take the game.
1	children , christian or otherwise , deserve to hear the full story of jonah ' s despair - - in all its agonizing , catch - 22 glory - - even if they spend years trying to comprehend it .	children, Christian or not, deserve to hear the complete story of Jonah's despair - - in all his agony, catching - 22 glory - even if they spend years trying to understand it.
0	like the tuck family themselves , this movie just goes on and on and on and on	Like the Cuckoo family itself, this film continues over and over and over again
1	that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .	that the hays can both maintain and dismantle the facades that its genre and its character construction is an amazing realization of truthfulness and narrative grace.
0	five screenwriters are credited with the cliché-laden screenplay ; it seems as if each watered down the version of the one before .	Five screenwriters are credited with the scenario loaded with clichés; it seems that each screenwriter has watered the previous version.
1	as refreshing as a drink from a woodland stream .	as refreshing as a drink from a wooded stream.
1	if you ' ve grown tired of going where no man has gone before , but several movies have - take heart .	If you are tired of going where no man has gone before, but many movies have taken courage.
0	distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine .	distinctly sub-by... more likely to drown a spectator in boredom than to send chills into his spine.
1	alternately hilarious and sad , aggravating and soulful , scathing and joyous .	Alternatively hilarious and sad, aggravating and soulful, scathing and joyous.
1	trapped presents a frightening and compelling ` what if ? '	"Trapped, which is frightening and convincing "" and if? """
1	if you ' re not , you ' ll still have a good time . ' '	If you don't, you'll always have a good time.
1	scott delivers a terrific performance in this fascinating portrait of a modern lothario .	Scott offers a great performance in this fascinating portrait of a modern lothario.
0	there are some fairly unsettling scenes , but they never succeed in really rattling the viewer .	There are a few rather troubling scenes, but they never really manage to catch up with the spectator.
1	the movie is ingenious fun .	The film is ingenious.
0	a thoroughly awful movie - - dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` the thing ' and a geriatric ` scream . '	"a completely horrible - - stupid, narratively chaotic, visually blurred film... a bizarre amalgam of ""the thing"" and a geriatric cry. """
0	while american adobo has its heart ( and its palate ) in the right place , its brain is a little scattered - - ditsy , even .	While the American adobo has its heart (and palace) in the right place, its brain is a little scattered - - ditsy, even.
0	return to never land is much more p . c . than the original version ( no more racist portraits of indians , for instance ) , but the excitement is missing .	return to never land is much more p.c. than the original version (no more racist portraits of Indians, for example), but excitement is missing.
0	( t ) oo many of these gross out scenes ...	o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
0	` it looks good , sonny , but you missed the point . '	It sounds good, sonny, but you missed the point. '
0	the christ allegory does n't work because there is no foundation for it	the allegory of Christ does not work because there is no foundation for it
1	it ' s the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough .	This is the kind of film that, apart from Robert altman, the peak, the coen brothers and a few others, our filmmakers don't do enough.
0	one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation .	one of these films where the characters live this special annex of hell where adults behave like children, children behave like adults and everyone screams at the top of their lungs whatever the situation.
0	an incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .	An incredibly narrow en-joke targeted on the smallest segment of an already obscure demographic.
0	hmmm ... might i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ?	Hmm... could I suggest that the path to the wood one end while getting stuck in an electric pencil sharpener?
0	the actors try hard but come off too amateurish and awkward .	The actors try hard but come out too amateur and embarrassing.
1	bluer than the atlantic and more biologically detailed than an autopsy , the movie ... is , also , frequently hilarious .	More blue than the Atlantic and more biologically detailed than an autopsy, the film... is, too, often hilarious.
1	` stock up on silver bullets for director neil marshall ' s intense freight train of a film . '	""" To store on silver bullets for the intense merchandise train of the director neil marshall of a film ""."
0	it ' s a barely tolerable slog over well-trod ground .	It's a slog barely tolerable above a well-filled ground.
0	certain to be distasteful to children and adults alike , eight crazy nights is a total misfire .	certain to be detestable to children and adults, eight crazy nights is a total bad fire.
1	( taymor ) utilizes the idea of making kahlo ' s art a living , breathing part of the movie , often catapulting the artist into her own work .	( taymor ) uses the idea of making Kahlo's art a living one, breathing part of the film, often catapulting the artist in his own work.
1	a wild ride juiced with enough energy and excitement for at least three films .	a wild ride truffled with enough energy and excitement for at least three films.
0	more tiring than anything .	More tiring than anything.
1	a terrifically entertaining specimen of spielbergian sci-fi .	A wonderfully entertaining specimen of spielbergian sci-fi.
0	stay away .	Stay away from me.
0	it squanders chan ' s uniqueness ; it could even be said to squander jennifer love hewitt !	he's wasting the uniqueness of dechan; one could even say that he's wasting Jennifer loves hewitt!
0	a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one ' s appetite for the bollywood films .	a little too thoughtful to work as a shallow entertainment, not incisive enough at a distance to qualify as drama, monsoon marriage is mainly used to sharpen appetite for Bollywood films.
0	while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter	while the latter leaves with a good natural warning, the future efforts of lizard will have to comply more closely with the laws of laughter
0	the movie suffers from two fatal ailments - - a dearth of vitality and a story that ' s shapeless and uninflected .	The film suffers from two deadly evils - - a lack of vitality and a story that is formless and uninfluenced.
0	while it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion , lan yu never catches dramatic fire .	While it is welcome to see a Chinese film portrays a homosexual relationship in a mature and frank way, lan yu never takes on dramatic fire.
